SW-DOWNLOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parametric
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,List of Failing Tests,Version,BMLB-Serial Number,BMLB-Vendor,BTY-Serial Number,BTY-Vendor,CGS-Serial Number,CGS-Vendor,CYC-Serial Number,CYC-Vendor,HOOP-Serial Number,HOOP-Vendor,HSGA-Serial Number,HSGA-Vendor,MLB-Serial Number,MLB-Vendor,PEARL-Serial Number,PEARL-Vendor,FP_SN,JULIET_SN,OS_BUILD_VERSION_FATP,ROMEO_SN,STATION_STRING,DCSD FINISH,DCSD LOG-COLLECTION,DCSD REPORT-DATA-WRITE-CB,DCSD RESTORE  9 - The operation couldn’t be completed. (AMRestoreErrorDomain error 9 - Failed to receive message from device might be conn,DCSD RESTORE,DCSD START,hidd_nonui display ECIDCount,hidd_nonui display_on_time EFI,hidd_nonui display_on_time NonUI,hidd_nonui display_on_time Total,MAX_TEMP pmu TDEV1,MAX_TEMP pmu TDEV2,MAX_TEMP pmu TDEV3,MAX_TEMP pmu TDEV4,MAX_TEMP pmu TDEV5,MAX_TEMP soc THERMAL0,MAX_TEMP soc THERMAL1,MAX_TEMP soc THERMAL2,MIN_TEMP pmu TDEV1,MIN_TEMP pmu TDEV2,MIN_TEMP pmu TDEV3,MIN_TEMP pmu TDEV4,MIN_TEMP pmu TDEV5,MIN_TEMP soc THERMAL0,MIN_TEMP soc THERMAL1,MIN_TEMP soc THERMAL2,STOP_TESTABLE_DEVICE CHECK_PROCESS_CONTROL,TestGroup Failure Action,UsbLocation UsbLocation
FXGL,D53P,G6TZH00EP851,D53-PRO1MINI,D53-PRO1MINI_P2CMFC4S,010050,FXGL_C02-2F-RD_44_SW-DOWNLOAD,FAIL,2019-11-07 08:47:51,2019-11-07 08:48:07,TestGroup Failure Action,0.0.2-unknown,C079403009ZNY619,Foxconn,F8Y9374M07XN48K1H,Sunwoda Electronics Co. Ltd.,G6T94070012P70YAW,FXGL,,,,,G6T9407000KP879AH,FXGL,C079403005TP55H1,Foxconn,G6T9406000KP70XAJ,FXGL,,,unknown,,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342949888
FXGL,D53P,G6TZK002P842,D53-PRO1,D53-PRO1_P2A5BH,010582,FXGL_C03-3F-DQE_48_SW-DOWNLOAD,PASS,2019-11-07 09:20:41,2019-11-07 09:31:09,,0.0.2-18A21371g,C07942400RZNY619,Foxconn,FG9938500XJN48N1D,Huapu Technology (Simplo),G6T94270016P70YAL,FXGL,,,,,G6T9427000AP878AM,FXGL,C07942400QKP55G1,Foxconn,G6T9424003PP70XA1,FXGL,FWP9392Z0EXMVFYPF,DNM937300NXN9678Z,18A21371g,DN893636YJ7N2835F,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,5,122181,128833,251014,28.37,29.57,28.55,30.57,28.96,29.35,28.2,0,28.07,29.19,28.22,30.28,28.66,28.17,27.89,0,,,336793600
FXGL,D53P,G6TZK00AP842,D53-PRO1,D53-PRO1_P2A5BH,010599,FXGL_C03-3F-DQE_51_SW-DOWNLOAD,PASS,2019-11-07 09:13:50,2019-11-07 09:26:11,,0.0.2-18A21371h,C07942400JXNY619,Foxconn,FG99385007DN48N1N,Huapu Technology (Simplo),G6T9427000TP70YA2,FXGL,,,,,G6T94270004P878AT,FXGL,C07942400MMP55G1,Foxconn,G6T94240043P70XAJ,FXGL,FWP9392Z0DPMVFYPS,DNM937300HPN9678N,18A21371h,DN893636YK6N2835D,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,132471,192782,325253,30.53,33.96,31.39,36.91,34.11,34.76,34.75,0,26.57,28.7,27.15,30.53,28.44,27.82,27.95,0,,,336670976
FXGL,D53P,G6TZK00BP85J,D53-PRO1,D53-PRO1_P3R4B,,FXGL_C03-3F-DQE_58_SW-DOWNLOAD,PASS,2019-11-07 09:00:47,2019-11-07 09:09:49,,0.0.2-18A21371f,C0794220011NY6Q9,Foxconn,F8Y9396M0WGN48M1M,Sunwoda Electronics Co. Ltd.,G6T9425001VP70YAZ,FXGL,,,,,G6T9425000YP713AR,FXGL,C079421002XP55L1,Foxconn,G6T9423001CP70XAK,FXGL,FWP9372Z8F0MVFYHR,DNM93730074N96783,18A21371f,DN89377003MN2832W,Miss CmClbbpvpcrttcrtpspceCfgrCfg,,,,,,,3,60066,51021,111087,,,,,,,,,,,,,,,,,,,437416192
FXGL,D53P,G6TZK00CP842,D53-PRO1,D53-PRO1_P2A5BH,010588,FXGL_C03-3F-DQE_51_SW-DOWNLOAD,PASS,2019-11-07 09:13:55,2019-11-07 09:26:04,,0.0.2-18A21371h,C07942400KZNY619,Foxconn,FG9938500NQN48N10,Huapu Technology (Simplo),G6T9427000SP70YA3,FXGL,,,,,G6T9427000EP878AH,FXGL,C07942400NZP55G1,Foxconn,G6T9424003YP70XAS,FXGL,FWP9392Z0GFMVFYPR,DNM937300NZN9678X,18A21371h,DN893636WXFN28354,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,112881,200135,313016,29.27,31.64,29.57,34.01,31.69,30.62,30.93,0,28.4,30.53,28.51,32.2,30.28,30.59,30.9,0,,,336662784
FXGL,D53P,G6TZK00EP85K,D53-PRO1MINI,D53-PRO1MINI_P3M9W,010293,FXGL_C02-2F-RD_43_SW-DOWNLOAD,FAIL,2019-11-07 08:53:10,2019-11-07 08:56:28,DCSD RESTORE  9 - The operation couldn’t be completed. (AMRestoreErrorDomain error 9 - Failed to receive message from device might be conn,0.0.4-18A21371h,C079414001KNY6Q9,Foxconn,F8Y9367M0GEN48K17,Sunwoda Electronics Co. Ltd.,G6T94220013P70YAU,FXGL,,,,,G6T9422000LP714A5,FXGL,C079414000VP55L1,Foxconn,G6T9417002AP70XAH,FXGL,FWP9373Z37JMVFYG4,FX89391TZZWN9692K,18A21371h,DN89377005RN2832L,Nil,,,,,,,3,209926,244115,454041,38.39,43.62,39.85,44.92,41.92,43.96,43.59,0,27.22,28.92,27.79,29.89,28.29,27.98,28.04,0,,,487788544
FXGL,D53P,G6TZK00EP85K,D53-PRO1MINI,D53-PRO1MINI_P3M9W,010293,FXGL_C02-2F-RD_43_SW-DOWNLOAD,FAIL,2019-11-07 08:57:47,2019-11-07 09:06:18,DCSD RESTORE  9 - The operation couldn’t be completed. (AMRestoreErrorDomain error 9 - Failed to receive message from device might be conn,0.0.4-18A21371h,C079414001KNY6Q9,Foxconn,F8Y9367M0GEN48K17,Sunwoda Electronics Co. Ltd.,G6T94220013P70YAU,FXGL,,,,,G6T9422000LP714A5,FXGL,C079414000VP55L1,Foxconn,G6T9417002AP70XAH,FXGL,FWP9373Z37JMVFYG4,FX89391TZZWN9692K,18A21371h,DN89377005RN2832L,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487788544
FXGL,D53P,G6TZK00EP85K,D53-PRO1MINI,D53-PRO1MINI_P3M9W,010293,FXGL_C02-2F-RD_43_SW-DOWNLOAD,PASS,2019-11-07 09:10:28,2019-11-07 09:19:24,,0.0.4-18A21371h,C079414001KNY6Q9,Foxconn,F8Y9367M0GEN48K17,Sunwoda Electronics Co. Ltd.,G6T94220013P70YAU,FXGL,,,,,G6T9422000LP714A5,FXGL,C079414000VP55L1,Foxconn,G6T9417002AP70XAH,FXGL,FWP9373Z37JMVFYG4,FX89391TZZWN9692K,18A21371h,DN89377005RN2832L,Miss bbpvShSCrSClpcrttcrtpspceCfgrCfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487788544
FXGL,D53P,G6TZK00GP85J,P3R4B,,,FXGL_C03-3F-DQE_58_SW-DOWNLOAD,FAIL,2019-11-07 09:00:47,2019-11-07 09:02:45,TestGroup Failure Action,0.0.2-18A21371f,C079427000PNY6Q9,Foxconn,FG99422000VN48P1C,Huapu Technology (Simplo),G6T9425001XP70YAX,FXGL,,,,,G6T94250009P713AE,FXGL,C0794270002P55L1,Foxconn,G6T9423000NP70XAC,FXGL,FWP9372Z5Z8MVFYH0,DNM9373001YN9678T,18A21371f,DN893770078N2832X,Nil,,,,,,,10,52491,48178,100669,,,,,,,,,,,,,,,,,,,437412096
FXGL,D53P,G6TZK00GP85J,P3R4B,,,FXGL_C03-3F-DQE_58_SW-DOWNLOAD,FAIL,2019-11-07 09:03:02,2019-11-07 09:04:54,TestGroup Failure Action,0.0.2-unknown,C079427000PNY6Q9,Foxconn,FG99422000VN48P1C,Huapu Technology (Simplo),G6T9425001XP70YAX,FXGL,,,,,G6T94250009P713AE,FXGL,C0794270002P55L1,Foxconn,G6T9423000NP70XAC,FXGL,FWP9372Z5Z8MVFYH0,DNM9373001YN9678T,unknown,DN893770078N2832X,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437412096
FXGL,D53P,G6TZK00GP85J,P3R4B,,,FXGL_C03-3F-DQE_58_SW-DOWNLOAD,PASS,2019-11-07 09:07:04,2019-11-07 09:16:32,,0.0.2-18A21371f,C079427000PNY6Q9,Foxconn,FG99422000VN48P1C,Huapu Technology (Simplo),G6T9425001XP70YAX,FXGL,,,,,G6T94250009P713AE,FXGL,C0794270002P55L1,Foxconn,G6T9423000NP70XAC,FXGL,FWP9372Z5Z8MVFYH0,DNM9373001YN9678T,18A21371f,DN893770078N2832X,Miss CmClbbpvpcrttcrtpspceCfgrCfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437399808
FXGL,D53P,G6TZK00LP842,D53-PRO1,D53-PRO1_P2A5BH,010593,FXGL_C03-3F-DQE_48_SW-DOWNLOAD,PASS,2019-11-07 09:06:50,2019-11-07 09:21:23,,0.0.2-18A21371g,C07942400L4NY619,Foxconn,FG99385015RN48N1F,Huapu Technology (Simplo),G6T9427000ZP70YAW,FXGL,,,,,G6T94270009P878AN,FXGL,C07942400P8P55G1,Foxconn,G6T94240040P70XAM,FXGL,FWP9392Z1RLMVFYPS,DNM937300T6N96789,18A21371g,DN893636YXMN2835W,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,118487,141880,260367,28.07,29.73,28.51,30.53,29.34,28.96,29.09,0,27.33,29,27.79,29.73,28.66,28.35,28.2,0,,,337055744
FXGL,D53P,G6TZK00PP843,D53-PRO1MINI,D53-PRO1MINI_P2R2WH,010330,FXGL_C03-3F-DQE_55_SW-DOWNLOAD,PASS,2019-11-07 09:31:39,2019-11-07 09:41:51,,0.0.2-18A21371f,C0794150084NY619,Foxconn,F8Y9396M0Y3N48M1U,Sunwoda Electronics Co. Ltd.,G6T94230014P70YAS,FXGL,,,,,G6T9423000XP879A3,FXGL,C079415015XP55G1,Foxconn,G6T9417000EP70XAK,FXGL,FWP9364Z351MVFYFY,DNM93560431N9674V,18A21371f,DN893635DF0N2835K,Miss CmClbbpvpcrttcrtpspceCfgrCfg,,,,,,,3,58629,128379,187008,36.7,38.28,37.13,39.49,37.07,44.93,43.1,0,34.3,35.67,34.73,36.59,34.49,34.29,34.62,0,,,343216128
FXGL,D53P,G6TZK00PP85J,D53-PRO1,D53-PRO1_P3R4B,010453,FXGL_C03-3F-DQE_36_SW-DOWNLOAD,PASS,2019-11-07 09:27:22,2019-11-07 09:36:17,,0.0.2-18A21371h,C079422003ENY6Q9,Foxconn,F8Y9396M0SHN48M1Y,Sunwoda Electronics Co. Ltd.,G6T9425001QP70YA4,FXGL,,,,,G6T94250016P713AE,FXGL,C079421003WP55L1,Foxconn,G6T94230003P70XAX,FXGL,FWP9372Z6NWMVFYHA,DNM93730075N96782,18A21371h,DN8937700PBN2832E,Miss CmClbbpvpcrttcrtpspceCfgrCfg,,,,,,,3,233043,83872,316915,46.6,49.18,47.24,50.63,46.29,50.56,49.82,0,25.7,27.75,26.46,28.48,27.01,25.45,25.67,0,,,487789328
FXGL,D53P,G6TZK00QP843,D53-PRO1MINI,D53-PRO1MINI_P2R2WH,010331,FXGL_C03-3F-DQE_55_SW-DOWNLOAD,PASS,2019-11-07 09:09:51,2019-11-07 09:28:10,,0.0.2-18A21371f,C079415007ZNY619,Foxconn,F8Y9396M0NVN48M1Y,Sunwoda Electronics Co. Ltd.,G6T94230016P70YAQ,FXGL,,,,,G6T94230006P879AU,FXGL,C0794150168P55G1,Foxconn,G6T94170008P70XAR,FXGL,FWP9403Z0RBMVFYQQ,DNM9356041PN9674D,18A21371f,DN89362ABMEN28359,Miss CmClbbpvpcrttcrtpspceCfgrCfg,,,,,,,3,70347,44807,115154,40.09,44.92,41.47,45.37,40.71,50.59,48,0,23.92,25.67,24.59,26.2,24.74,24.68,24.15,0,,,343150592
FXGL,D53P,G6TZK02ZP85J,D53-PRO1,D53-PRO1_P3A3BS,010636,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,PASS,2019-11-07 08:55:05,2019-11-07 09:02:15,,0.0.2-18A21371f,C0794230027NY6Q9,Foxconn,FG9938500L1N48N1V,Huapu Technology (Simplo),G6T9427002FP70YA8,FXGL,,,,,G6T9427000YP713AP,FXGL,C0794230036P55L1,Foxconn,G6T9425000NP70XAA,FXGL,FWP9392Z27ZMVFYPY,FX89367NXNYN9696Q,18A21371f,F8P936402BNN2842Z,Miss bbpvpcrtappvtcrtpspceCfgrCfg,,,,,,,3,75984,87540,163524,54.96,63.85,58.72,64,54.2,65.04,64.67,0,45.98,53.78,50.35,53.47,44.62,53.48,53.23,0,,,337707008
FXGL,D53P,G6TZK03BP85J,P3A3BS,,,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,PASS,2019-11-07 08:53:11,2019-11-07 09:00:24,,0.0.2-18A21371f,C079423000XNY6Q9,Foxconn,FG99385010GN48N15,Huapu Technology (Simplo),G6T9427002HP70YA6,FXGL,,,,,G6T9427000ZP713AN,FXGL,C079423004VP55L1,Foxconn,G6T9425001DP70XAG,FXGL,FWP9392Z05NMVFYPH,FX89367NXHGN9696M,18A21371f,F8P936402JLN2842E,Miss bbpvpcrtappvtcrtpspceCfgrCfg,,,,,,,3,42464,92627,135091,58.72,68.66,62.8,68.3,57.49,70.03,69.46,0,30.93,32.2,31.02,33.27,32.16,30.6,31.09,0,,,341901312
FXGL,D53P,G6TZK03EP85J,D53-PRO1,D53-PRO1_P3A4B,010657,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,PASS,2019-11-07 09:36:03,2019-11-07 09:44:03,,0.0.2-18A21371f,C079423001BNY6Q9,Foxconn,FG9938500XSN48N15,Huapu Technology (Simplo),G6T9427002RP70YAY,FXGL,,,,,G6T9427001DP713A5,FXGL,C0794230030P55L1,Foxconn,G6T9424004FP70XA6,FXGL,FWP9392Z22UMVFYPJ,DNM937300MMN9678C,18A21371f,DN893636X9YN2835J,Miss bbpvpcrtappvtcrtpspceCfgrCfg,,,,,,,3,133793,134801,268594,52.25,56.19,52.65,58.47,55.85,62.15,60.62,0,3.13,4.03,3.05,4.83,3.65,-0.03,0.32,0,,,336658432
FXGL,D53P,G6TZK03HP85J,D53-PRO1,D53-PRO1_P3A4B,,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,PASS,2019-11-07 09:35:57,2019-11-07 09:44:02,,0.0.2-18A21371f,C079423001TNY6Q9,Foxconn,FG9938500VKN48N1J,Huapu Technology (Simplo),G6T9427002JP70YA5,FXGL,,,,,G6T9427001EP713A4,FXGL,C079423003LP55L1,Foxconn,G6T9424004NP70XAZ,FXGL,FWP9392Z0BAMVFYPB,DNM937300ELN96780,18A21371f,DN8936370CJN2835H,Miss CmClbbpvpcrtappvtcrtpspceCfgrCfg,,,,,,,3,70125,49127,119252,57.49,58.34,54.96,61.93,57.73,61.76,61.79,0,4.23,5.19,4.17,6.35,5.05,0.81,1.35,0,,,341901312
FXGL,D53P,G6TZK03KP85J,P3A4B,,,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,PASS,2019-11-07 09:45:40,2019-11-07 09:53:22,,0.0.2-18A21371f,C079423000NNY6Q9,Foxconn,FG9938500HJN48N1M,Huapu Technology (Simplo),G6T9427002TP70YAW,FXGL,,,,,G6T9427001HP713A1,FXGL,C079423004EP55L1,Foxconn,G6T9424004QP70XAX,FXGL,FWP9392Z187MVFYPN,DNM937300MKN9678E,18A21371f,DN8936370U3N2835J,Miss bbpvpcrtappvtcrtpspceCfgrCfg,,,,,,,3,77029,92704,169733,54.74,58.85,54.96,62.8,58.72,64.26,62.84,0,4.89,5.95,4.75,7.2,5.65,1.76,2.59,0,,,341901312
FXGL,D53P,G6TZK03MP85J,D53-PRO1,D53-PRO1_P3A4B,010662,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,PASS,2019-11-07 09:35:55,2019-11-07 09:44:02,,0.0.2-18A21371f,C079423000TNY6Q9,Foxconn,FG9938500FEN48N1X,Huapu Technology (Simplo),G6T9427002UP70YAV,FXGL,,,,,G6T9427001PP713AV,FXGL,C079423002ZP55L1,Foxconn,G6T9424004WP70XAR,FXGL,FWP9403Z1NPMVFYQL,DNM937300M4N9678V,18A21371f,DN893636Y3NN2835B,Miss CmClbbpvpcrtappvtcrtpspceCfgrCfg,,,,,,,3,67607,53232,120839,36.39,39.44,37.61,41.02,38.11,45.92,43.54,0,31.86,33.73,32.16,34.53,33.45,33.71,33.54,0,,,337707008
FXGL,D53P,G6TZK03SP85J,D53-PRO1,D53-PRO1_P3A4B,010652,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,PASS,2019-11-07 09:45:30,2019-11-07 09:53:06,,0.0.2-18A21371f,C079427001SNY6Q9,Foxconn,FG99395005BN48P1S,Huapu Technology (Simplo),G6T9427002WP70YAT,FXGL,,,,,G6T9427001LP713AY,FXGL,C079427001GP55L1,Foxconn,G6T94240046P70XAF,FXGL,FWP9392Z0P1MVFYPJ,DNM937300MZN96780,18A21371f,DN8936370C2N2835Z,Miss CmClbbpvpcrtappvtcrtpspceCfgrCfg,,,,,,,4,62117,54258,116375,38.68,40.16,38.56,43.13,40.09,47.48,46.06,0,33.73,35.07,33.64,36.18,34.44,34.65,35.26,0,,,336658432
FXGL,D53P,G6TZK03TP85J,D53-PRO1,D53-PRO1_P3A4B,010651,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,PASS,2019-11-07 09:10:27,2019-11-07 09:17:41,,0.0.2-18A21371f,C07943200AKNY6Q9,Foxconn,FG99422008SN48P1R,Huapu Technology (Simplo),G6T9427002NP70YA1,FXGL,,,,,G6T9427001MP713AX,FXGL,C0794330027P55L1,Foxconn,G6T9424004VP70XAS,FXGL,FWP9392Z1BFMVFYP5,DNM937300QVN9678V,18A21371f,DN8936370CUN28357,Miss pcicpciipcvcpcvipcvepbaspmpcpdclpregprf1prf2psd1psd2pwclpsnvjlexjlinjlnljlnmjlnvjlpqjlpsjlskbbpvpcrtappvtcrtpspceCfgrCfg,,,,,,,4,73321,39849,113170,36.65,38.11,36.65,40.09,37.67,49.64,47.78,0,32.12,33.32,32.12,34.11,33.13,35.76,35.78,0,,,341901312
FXGL,D53P,G6TZL00GP85J,P3RW1B,,,FXGL_C03-3F-DQE_48_SW-DOWNLOAD,PASS,2019-11-07 09:05:18,2019-11-07 09:23:08,,0.0.2-18A21371g,C07942700MUNY6Q9,Foxconn,F8Y9396M0KHN48M1K,Sunwoda Electronics Co. Ltd.,G6T94340042P70YAF,FXGL,,,,,G6T9434000GP713A5,FXGL,C07942700HUP55L1,Foxconn,G6T9424003MP70XA3,FXGL,FWP9363Z1S9MVFYE1,DNM937300NWN96780,18A21371g,DN893636NAFN28357,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,161987,56769,218756,42.12,43.76,42.19,46.6,43,46.09,45.45,0,26.26,27.36,26.23,28.55,26.67,26.25,26.4,0,,,336990208
FXGL,D53P,G6TZL00HP85C,P3A25B,,,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,PASS,2019-11-07 09:11:05,2019-11-07 09:18:28,,0.0.2-18A21371f,C0794330087NY6Q9,Foxconn,FG9942200DYN48P14,Huapu Technology (Simplo),G6T9437002WP70YAQ,FXGL,,,,,G6T94370017P713A8,FXGL,C07943300BVP55K1,Foxconn,G6T9433001WP70XAY,FXGL,FWP9364Z2KLMVFYF6,FX89367NX6PN9696D,18A21371f,F8P936402F4N28425,Miss CmClbbpvpcrtappvtcrtpspceCfgrCfg,,,,,,,5,66371,75036,141407,30.93,32.51,31.06,33.96,31.64,34.01,32.51,0,30.93,32.51,31.06,33.96,31.64,34.01,32.51,0,,,337707008
FXGL,D53P,G6TZL00HP85K,D53-PRO1,D53-PRO1_P3A7W,010740,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,PASS,2019-11-07 09:03:18,2019-11-07 09:10:49,,0.0.2-18A21371f,C0794230015NY6Q9,Foxconn,F8Y9396M0TZN48M1D,Sunwoda Electronics Co. Ltd.,G6T94320025P70YAL,FXGL,,,,,G6T9432000JP714A4,FXGL,C079423003HP55L1,Foxconn,G6T9432002RP70XA1,FXGL,FWP9364Z156MVFYFV,FX89367NXVZN96962,18A21371f,F8P936403BDN28427,Miss CmClbbpvpcrtappvtcrtpspceCfgrCfg,,,,,,,3,132910,130270,263180,31.86,33.04,31.86,34.11,33.09,34.23,33.06,0,31.86,33.04,31.86,34.11,33.09,34.23,33.06,0,,,337707008
FXGL,D53P,G6TZL00JP85J,P3RW1B,,,FXGL_C03-3F-DQE_56_SW-DOWNLOAD,PASS,2019-11-07 09:56:06,2019-11-07 10:07:12,,0.0.2-18A21371g,C07942700NWNY6Q9,Foxconn,F8Y9396M0DWN48M1Q,Sunwoda Electronics Co. Ltd.,G6T94340044P70YAD,FXGL,,,,,G6T9434000YP713AP,FXGL,C07942700KPP55L1,Foxconn,G6T94240051P70XAH,FXGL,FWP9363Z2AYMVFYER,DNM937300EGN96784,18A21371g,DN8936375H5N2835A,Miss CmClbbpvpcrttcrtpspceCfgrCfg,,,,,,,3,124558,47089,171647,38.22,43.76,39.73,45.67,41.99,47.75,45.9,0,30.61,32.51,31.06,33.87,31.31,31.67,32.09,0,,,343085056
FXGL,D53P,G6TZL00LP85J,P3RW1B,,,FXGL_C03-3F-DQE_48_SW-DOWNLOAD,PASS,2019-11-07 09:23:44,2019-11-07 09:38:33,,0.0.2-18A21371g,C07942700NPNY6Q9,Foxconn,F8Y9396M0WAN48M1T,Sunwoda Electronics Co. Ltd.,G6T9434003XP70YAP,FXGL,,,,,G6T9434000RP713AW,FXGL,C07942700J4P55L1,Foxconn,G6T9424004RP70XAW,FXGL,FWP9363Z0G2MVFYE5,DNM937300K5N96780,18A21371g,DN893636UVYN2835V,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,148153,53036,201189,49.36,52.06,49.98,53.67,49.45,55.96,55.23,0,24.4,25.77,24.77,26.77,25.83,24.31,24.68,0,,,336859136
FXGL,D53P,G6TZL00MP85J,P3RW1B,,,FXGL_C03-3F-DQE_48_SW-DOWNLOAD,FAIL,2019-11-07 08:50:08,2019-11-07 09:02:49,TestGroup Failure Action;STOP_TESTABLE_DEVICE CHECK_PROCESS_CONTROL,0.0.2-18A21371g,C07942700NNNY6Q9,Foxconn,F8Y9396M0LWN48M13,Sunwoda Electronics Co. Ltd.,G6T94340041P70YAG,FXGL,,,,,G6T9434000KP713A2,FXGL,C07942700JBP55L1,Foxconn,G6T94250010P70XAV,FXGL,FWP9363Z236MVFYE4,FX89367NXMJN96967,18A21371g,F8P936402KWN28421,Nil,,,,,,,,,,,48.49,54.96,49.8,55.18,48.58,58.51,58.28,0,23.62,24.96,23.83,25.83,24.59,22.84,23.68,0,,,336990208
FXGL,D53P,G6TZL00MP85J,P3RW1B,,,FXGL_C03-3F-DQE_48_SW-DOWNLOAD,PASS,2019-11-07 09:23:38,2019-11-07 09:39:05,,0.0.2-18A21371g,C07942700NNNY6Q9,Foxconn,F8Y9396M0LWN48M13,Sunwoda Electronics Co. Ltd.,G6T94340041P70YAG,FXGL,,,,,G6T9434000KP713A2,FXGL,C07942700JBP55L1,Foxconn,G6T94250010P70XAV,FXGL,FWP9363Z236MVFYE4,FX89367NXMJN96967,18A21371g,F8P936402KWN28421,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337055744
FXGL,D53P,G6TZL00NP85J,P3RW1B,,,FXGL_C03-3F-DQE_48_SW-DOWNLOAD,FAIL,2019-11-07 08:50:22,2019-11-07 09:02:49,TestGroup Failure Action,0.0.2-18A21371g,C07942700N6NY6Q9,Foxconn,F8Y9396M0PGN48M18,Sunwoda Electronics Co. Ltd.,G6T9434004AP70YA7,FXGL,,,,,G6T9434000SP713AV,FXGL,C07942700J1P55L1,Foxconn,G6T94250012P70XAT,FXGL,FWP9363Z1WGMVFYEG,FX89367NXSQN9696L,18A21371g,F8P936402KHN2842E,Nil,,,,,,,,,,,43.69,45.67,43.9,49.98,46.13,50.6,49.62,0,24.53,25.93,24.9,27.79,25.87,25.82,25.85,0,,,337055744
FXGL,D53P,G6TZL00NP85J,P3RW1B,,,FXGL_C03-3F-DQE_48_SW-DOWNLOAD,PASS,2019-11-07 09:39:43,2019-11-07 09:50:52,,0.0.2-18A21371g,C07942700N6NY6Q9,Foxconn,F8Y9396M0PGN48M18,Sunwoda Electronics Co. Ltd.,G6T9434004AP70YA7,FXGL,,,,,G6T9434000SP713AV,FXGL,C07942700J1P55L1,Foxconn,G6T94250012P70XAT,FXGL,FWP9363Z1WGMVFYEG,FX89367NXSQN9696L,18A21371g,F8P936402KHN2842E,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336990208
FXGL,D53P,G6TZL00RP85J,P3RW1B,,,FXGL_C03-3F-DQE_56_SW-DOWNLOAD,PASS,2019-11-07 09:56:05,2019-11-07 10:07:17,,0.0.2-18A21371g,C07942700LXNY6Q9,Foxconn,F8Y9396M0R5N48M1D,Sunwoda Electronics Co. Ltd.,G6T9434003YP70YAN,FXGL,,,,,G6T9434000JP713A3,FXGL,C07942700KSP55L1,Foxconn,G6T94240058P70XAA,FXGL,FWP9363Z09SMVFYE2,DNM9373009ZN96782,18A21371g,DN893636NAAN2835C,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,154938,66687,221625,38.22,43.2,39.55,43.62,41.21,47.04,45.2,0,30.53,32.16,30.57,33,31.81,32,32.53,0,,,343216128
FXGL,D53P,G6TZL00SP85J,P3RW1B,,,FXGL_C03-3F-DQE_48_SW-DOWNLOAD,FAIL,2019-11-07 08:49:57,2019-11-07 09:02:49,TestGroup Failure Action,0.0.2-18A21371g,C07942700MZNY6Q9,Foxconn,F8Y9396M0ZUN48M10,Sunwoda Electronics Co. Ltd.,G6T94340049P70YA8,FXGL,,,,,G6T9434000PP713AY,FXGL,C07942700KXP55L1,Foxconn,G6T9424004DP70XA8,FXGL,FWP9363Z0GLMVFYEM,DNM937300H9N96782,18A21371g,DN893636XPXN2835B,Nil,,,,,,,3,140952,40764,181716,40.34,44.19,41.34,48.75,45.29,48.6,46.46,0,30.89,34.2,31.6,38.17,35.27,34.06,34.53,0,,,336859136
FXGL,D53P,G6TZL00SP85J,P3RW1B,,,FXGL_C03-3F-DQE_48_SW-DOWNLOAD,PASS,2019-11-07 09:03:59,2019-11-07 09:23:08,,0.0.2-18A21371g,C07942700MZNY6Q9,Foxconn,F8Y9396M0ZUN48M10,Sunwoda Electronics Co. Ltd.,G6T94340049P70YA8,FXGL,,,,,G6T9434000PP713AY,FXGL,C07942700KXP55L1,Foxconn,G6T9424004DP70XA8,FXGL,FWP9363Z0GLMVFYEM,DNM937300H9N96782,18A21371g,DN893636XPXN2835B,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336859136
